 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567424
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567424
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518566800
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518560928
 memmap_init_zone_device initialised 10387456 pages in 84ms
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518573392
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 43, arg: 140726518573920
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569504
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518570384
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518570432
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569584
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569584
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569584
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518570192
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518570480
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569888
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569584
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569584
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569584
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518570192
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569888
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569168
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569184
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518569232
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518570368
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518570096
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518570096
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518570592
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 43, arg: 140726518572720
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 43, arg: 140726518572704
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518568992
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518564496
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 78, arg: 140726518569072
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 94, arg: 140726518569024
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518568544
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518564048
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 78, arg: 140726518568624
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518569360
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518564864
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 78, arg: 140726518569440
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 43, arg: 140726518571680
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567664
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 43, arg: 140726518571952
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567600
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 43, arg: 140726518571952
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567600
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567680
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567680
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518569776
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518565280
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 78, arg: 140726518569856
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518569776
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518565280
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 78, arg: 140726518569856
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518569360
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518564864
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 78, arg: 140726518569440
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 43, arg: 140726518571680
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567664
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 43, arg: 140726518571952
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567600
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 43, arg: 140726518571952
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567600
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567680
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518567680
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 74, arg: 140726518569360
 --follow ioctl 1. nvidia_ioctl in nv.c cmd: 42, arg: 140726518564864
